service_id,date,exception_type
12*45-MEHLV11_ST8_1_HI2425-MEHLV11_ST8_2_HI2425-MEHLV12_ST8_2_HI2425-MEHLV12_ST8_3_HI2425,20250408,1
12*45-MEHLV11_ST8_1_HI2425-MEHLV11_ST8_2_HI2425-MEHLV12_ST8_2_HI2425-MEHLV12_ST8_3_HI2425,20250410,1
12*45-MEHLV11_ST8_1_HI2425-MEHLV11_ST8_2_HI2425-MEHLV12_ST8_2_HI2425-MEHLV12_ST8_3_HI2425,20250411,1
12*45-MEHLV11_ST8_1_HI2425-MEHLV11_ST8_2_HI2425-MEHLV12_ST8_2_HI2425-MEHLV12_ST8_3_HI2425,20250414,1
12*45-MEHLV11_ST8_1_HI2425-MEHLV11_ST8_2_HI2425-MEHLV12_ST8_2_HI2425-MEHLV12_ST8_3_HI2425,20250415,1
12*45-MEHLV11_ST8_1_HI2425-MEHLV11_ST8_2_HI2425-MEHLV12_ST8_2_HI2425-MEHLV12_ST8_3_HI2425,20250417,1
12*45-MEHLV11_ST8_1_HI2425-MEHLV11_ST8_2_HI2425-MEHLV12_ST8_2_HI2425-MEHLV12_ST8_3_HI2425,20250418,1
1234567-MSHSAH02_ST5_2_HI2425-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,20250301,1
1234567-MSHSAH02_ST5_2_HI2425-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,20250308,1
1234567-MSHSAH02_ST5_2_HI2425-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,20250315,1
1234567-MSHSAH02_ST5_2_HI2425-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,20250322,1
1234567-MSHSAH02_ST5_2_HI2425-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,20250329,1
1234567-MSHSAH02_ST5_2_HI2425-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,20250405,1
1234567-MSHSAH02_ST5_2_HI2425-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,20250412,1
1234567-MSHSAH02_ST5_2_HI2425-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,20250419,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250310,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250311,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250312,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250313,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250314,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250317,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250318,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250319,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250320,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250321,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250324,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250325,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250326,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250327,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250328,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250331,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250401,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250402,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250403,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250404,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250407,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250408,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250409,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250410,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250411,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250414,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250415,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250416,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250417,1
12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,20250418,1
12345-MFHLV09_ST21_8_HI2425-MFHLV10_ST21_7_HI2425,20250226,1
12345-MFHLV09_ST21_8_HI2425-MFHLV10_ST21_7_HI2425,20250227,1
12345-MFHLV09_ST21_8_HI2425-MFHLV10_ST21_7_HI2425,20250228,1
12345-MFHLV09_ST21_8_HI2425-MFHLV10_ST21_7_HI2425,20250303,1
12345-MFHLV09_ST21_8_HI2425-MFHLV10_ST21_7_HI2425,20250304,1
12345-MFHLV09_ST21_8_HI2425-MFHLV10_ST21_7_HI2425,20250305,1
12345-MFHLV09_ST21_8_HI2425-MFHLV10_ST21_7_HI2425,20250306,1
12345-MFHLV09_ST21_8_HI2425-MFHLV10_ST21_7_HI2425,20250307,1
