stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
4256,4256,"Saint-Martin-d'Uriage, Croisement 6",45.15287,5.8254,,,CROISEM,2
4257,4257,"Saint-Martin-d'Uriage, Croisement 6",45.15293,5.82555,,,CROISEM,2
4258,4258,"Saint-Martin-d'Uriage, Les Peiffendes",45.15716,5.8224,,,PEIFFEND,2
4259,4259,"Saint-Martin-d'Uriage, Les Peiffendes",45.15686,5.82304,,,PEIFFEND,2
426,426,"Corenc, Eygala",45.21385,5.7646,,,EYGALA,1
4260,4260,"Montbonnot-Saint-Martin, Montbonnot Gare",45.22866,5.80494,,,MG,1
4261,4261,"Montbonnot-Saint-Martin, Les Claverins",45.23381,5.80966,,,CLA,1
4262,4262,"Venon, Le Chenil",45.1631,5.8123,,,LECHENIL,1
4263,4263,"Saint-Martin-d'Uriage, Le Chenil",45.1631,5.81305,,,LECHENIL,1
4264,4264,"Gières, Les Terrats",45.16879,5.79359,,,TERRATS,2
4265,4265,"Gières, Les Terrats",45.16915,5.79295,,,TERRATS,2
4266,4266,"Gières, La Combe",45.17413,5.78992,,,LACOMBE,2
4267,4267,"Gières, La Combe",45.1741,5.79002,,,LACOMBE,2
427,427,"Corenc, Eygala",45.21377,5.76431,,,EYGALA,1
4276,4276,"Proveysieux, Planfay Combaleyre",45.27744,5.71591,,,COMBALEY,2
4277,4277,"Proveysieux, Planfay Combaleyre",45.27741,5.71585,,,COMBALEY,2
4278,4278,"Saint-Égrève, Bellevue",45.24406,5.69244,,,BELLEVU,2
4279,4279,"Saint-Égrève, Bellevue",45.24417,5.69253,,,BELLEVU,1
4280,4280,"Grenoble, Esclangon",45.19126,5.70683,,,ESCLANGO,2
4281,4281,"Grenoble, Esclangon",45.19158,5.7065,,,ESCLANGO,1
4282,4282,"Saint-Égrève, Champy",45.23991,5.69158,,,CHAMPY,2
4283,4283,"Saint-Égrève, Champy",45.23992,5.69165,,,CHAMPY,2
4284,4284,"Seyssins, Le Prisme",45.16666,5.69115,,,PRISME,2
4285,4285,"Seyssins, Le Prisme",45.16669,5.69134,,,PRISME,2
4288,4288,"Mont-Saint-Martin, Colavière",45.27237,5.67606,,,COLAVIER,2
4289,4289,"Mont-Saint-Martin, Colavière",45.27232,5.6761,,,COLAVIER,2
429,429,"Corenc, Corenc Mairie",45.21019,5.75279,,,CORENCMA,1
4292,4292,"Vaulnaveys-le-Haut, Les Alberges",45.13148,5.81903,,,ALBERGES,1
4293,4293,"Sassenage, Chamechaude",45.20548,5.6833,,,CHAMECHA,2
4296,4296,"Corenc, La Garenne",45.22679,5.76549,,,GARENNE,2
4297,4297,"La Tronche, Cimetière du Grand Sablon",45.19251,5.74551,,,CIMETIGS,1
4298,4298,"La Tronche, Cimetière du Grand Sablon",45.19248,5.74534,,,CIMETIGS,1
4299,4299,"La Tronche, Hôpital Couple Enfant",45.20173,5.74248,,,TRONCHOP,2
43,43,"Gières, Champrondet",45.18578,5.80285,,,CHAMPRON,1
430,430,"Corenc, Montfleury",45.21219,5.75757,,,MONTFLEU,1
4300,4300,"Grenoble, Stade Lesdiguières",45.16468,5.71066,,,STADLESD,1
4301,4301,"Grenoble, Stade Lesdiguières",45.16437,5.71062,,,STADLESD,1
4302,4302,"Vif, La Valonne",45.05027,5.67157,,,LAVALONE,1
4303,4303,"Vif, La Valonne",45.05031,5.67129,,,LAVALONE,1
4304,4304,"Grenoble, Louise Michel",45.17018,5.71291,,,LMICHEL,1
4305,4305,"Grenoble, Alliés",45.17338,5.71422,,,ALLIES,1
4306,4306,"Grenoble, Alliés",45.17331,5.71397,,,ALLIES,1
4307,4307,"Grenoble, Vallier - Libération",45.17908,5.71613,,,VALLIBE,1
4308,4308,"Grenoble, Vallier - Libération",45.17857,5.71577,,,VALLIBE,1
4309,4309,"Échirolles, Centre du graphisme",45.14178,5.71788,,,GRAPH,2
4310,4310,"Échirolles, Centre du graphisme",45.14186,5.71816,,,GRAPH,2
4312,4312,"Le Pont-de-Claix, ZI des Iles",45.13853,5.69449,,,ZILES,2
4313,4313,"Le Pont-de-Claix, 120 Toises",45.13626,5.69496,,,120TOISE,2
4314,4314,"Eybens, Pré au Crêt",45.14405,5.7401,,,PREAUCR,2
4315,4315,"Eybens, Pré au Crêt",45.14413,5.74053,,,PREAUCR,2
4316,4316,"Eybens, Les Saules",45.1617,5.74164,,,SAULES,2
4317,4317,"Eybens, Les Saules",45.16196,5.74182,,,SAULES,2
4318,4318,"Grenoble, Les Géants",45.16101,5.73969,,,PLGEANTS,2
4319,4319,"Eybens, Les Géants",45.16091,5.73965,,,PLGEANTS,2
432,432,"Corenc, Corenc Mairie",45.21013,5.75255,,,CORENCMA,1
4321,4321,"Grenoble, Victor Hugo",45.1887,5.72533,,,VICTHUGO,2
4328,4328,"Grenoble, Colonel Dumont",45.18157,5.72233,,,CAB,2
4331,4331,"Grenoble, Docteur Martin",45.18738,5.72832,,,DRMARTIN,2
4332,4332,"Grenoble, Docteur Martin",45.18737,5.72797,,,DRMARTIN,2
4333,4333,"Grenoble, Foch - Ferrié",45.18064,5.72181,,,FOCHFERI,2
4334,4334,"Vizille, Ecoles Joliot-Curie",45.08404,5.77517,,,EJCURIE,2
4335,4335,"Vizille, Ecoles Joliot-Curie",45.084,5.7751,,,EJCURIE,2
4336,4336,"Vizille, Camping",45.08593,5.77126,,,CAMPVIZ,2
4337,4337,"Vizille, Camping",45.08569,5.77121,,,CAMPVIZ,2
4338,4338,"Vizille, Vénaria",45.08187,5.77163,,,VENARIA,2
4339,4339,"Vizille, Vénaria",45.08177,5.77171,,,VENARIA,2
4340,4340,"Vizille, L'Alliance",45.08152,5.76865,,,ALI,2
4341,4341,"Vizille, L'Alliance",45.08166,5.76868,,,ALI,2
4342,4342,"Vizille, Parc Vöhringen",45.07888,5.76947,,,VOHRIGEN,2
4343,4343,"Vizille, Parc Vöhringen",45.07888,5.7694,,,VOHRIGEN,2
4344,4344,"Jarrie, Jarrie Gare",45.08563,5.74255,,,GARJA,2
4345,4345,"Jarrie, Jarrie Gare",45.08563,5.74262,,,GARJA,2
4346,4346,"Champ-sur-Drac, Pont de Champ",45.0875,5.73031,,,PONC,2
4347,4347,"Champ-sur-Drac, Pont de Champ",45.08771,5.73056,,,PONC,2
4348,4348,"Champ-sur-Drac, Espace Navarre",45.08662,5.73067,,,ROMANCHE,2
4349,4349,"Champ-sur-Drac, Espace Navarre",45.08675,5.73053,,,ROMANCHE,2
435,435,"La Tronche, Grande Tronche",45.20704,5.74578,,,GDTRONCH,2
4350,4350,"Champ-sur-Drac, Zola - Mairie",45.08261,5.73371,,,SALLEZOL,2
4351,4351,"Champ-sur-Drac, Zola - Mairie",45.08258,5.73377,,,SALLEZOL,2
4352,4352,"Champ-sur-Drac, Le Pavillon",45.08045,5.73445,,,ECOLELP,2
4353,4353,"Champ-sur-Drac, Le Pavillon",45.08038,5.73441,,,ECOLELP,2
4354,4354,"Champ-sur-Drac, Marcel Paul",45.07745,5.73156,,,GONNADIE,2
4355,4355,"Champ-sur-Drac, Marcel Paul",45.07748,5.73175,,,GONNADIE,2
4356,4356,"Champ-sur-Drac, Léo Lagrange",45.08448,5.73474,,,LEOLA,2
4357,4357,"Champ-sur-Drac, Léo Lagrange",45.0845,5.73478,,,LEOLA,2
4359,4359,"Champ-sur-Drac, La Melle",45.07071,5.72724,,,LAMELLE,2
4360,4360,"Champ-sur-Drac, ZA La Plaine",45.0683,5.7232,,,CHAMPSD,2
4361,4361,"Saint-Égrève, Grange Haute",45.2456,5.69576,,,GRANG,2
4362,4362,"Saint-Égrève, Grange Haute",45.24563,5.69476,,,GRANG,2
4363,4363,"Venon, Les Puis",45.17206,5.8164,,,PUIS,2
4364,4364,"Venon, Les Puis",45.17202,5.81624,,,PUIS,2
4365,4365,"Grenoble, Groupe Hospitalier Mutualiste",45.18122,5.71027,,,CLINMUT,2
4366,4366,"Grenoble, Vallier - Docteur Calmette",45.17949,5.71138,,,VACA,2
4367,4367,"Vif, Rivalta",45.05325,5.67771,,,VIFGEND,2
4368,4368,"Vif, Rivalta",45.05308,5.67742,,,VIFGEND,2
4369,4369,"Varces-Allières-et-Risset, Les Platanes",45.08933,5.6777,,,PLATANES,2
437,437,"La Tronche, Jules Rey",45.20658,5.74278,,,JULESREY,1
4370,4370,"Varces-Allières-et-Risset, Les Platanes",45.0891,5.67748,,,PLATANES,2
4371,4371,"Varces-Allières-et-Risset, L'Oriel",45.08967,5.68303,,,ORIEL,2
4373,4373,"Gières, Pont de Venon",45.17823,5.79043,,,PV,2
4374,4374,"Gières, Pont de Venon",45.1779,5.79037,,,PV,2
4377,4377,"Champ-sur-Drac, Grand Verger",45.07387,5.72972,,,GDVERGER,2
4378,4378,"Grenoble, Colonel Dumont",45.1815,5.72195,,,CAB,2
438,438,"La Tronche, Jules Rey",45.20649,5.74237,,,JULESREY,1
4381,4381,"Le Pont-de-Claix, Edmée Chandon",45.13677,5.70806,,,CHANDON,2
4382,4382,"Le Pont-de-Claix, Edmée Chandon",45.1368,5.70808,,,CHANDON,2
4383,4383,"Grenoble, Durant-Savoyat",45.1988,5.71015,,,DURANT,1
4384,4384,"Grenoble, Durant-Savoyat",45.19872,5.71035,,,DURANT,1
44,44,"Gières, Pied de Gières",45.18388,5.79852,,,PIEDGIER,1
4401,4401,"Gières, Pont de Venon",45.17764,5.79002,,,PV,1
4402,4402,"Gières, Pont de Venon",45.17737,5.78986,,,PV,1
441,441,"La Tronche, Bastille",45.20461,5.73787,,,BASTILLE,1
443,443,"La Tronche, Petite Tronche",45.20212,5.73442,,,PTTRONCH,1
444,444,"La Tronche, Petite Tronche",45.20195,5.73416,,,PTTRONCH,1
447,447,"Grenoble, Saint-Laurent",45.19798,5.73263,,,STLAUREN,2
448,448,"Grenoble, Saint-Laurent",45.19802,5.73257,,,STLAUREN,1
45,45,"Gières, Pied de Gières",45.18381,5.79849,,,PIEDGIER,1
4508,4508,"Grenoble, Saint-Bruno",45.18836,5.71365,,,STBRUNO,1
4509,4509,"Grenoble, Saint-Bruno",45.18834,5.71405,,,STBRUNO,1
451,451,"Grenoble, Condorcet",45.18576,5.71934,,,CONDORCE,1
4510,4510,"Grenoble, Berriat-Le Magasin",45.1888,5.7065,,,BERRIAT,1
4511,4511,"Grenoble, Berriat-Le Magasin",45.18879,5.70692,,,BERRIAT,1
4515,4515,"Fontaine, Louis Maisonnat",45.18983,5.6938,,,MAISONNA,1
4518,4518,"Fontaine, Charles Michels",45.19405,5.67994,,,CHARLMIC,1
4519,4519,"Fontaine, Charles Michels",45.19398,5.68011,,,CHARLMIC,1
452,452,"Grenoble, Condorcet",45.18577,5.71892,,,CONDORCE,1
4520,4520,"Fontaine, La Poya",45.19707,5.67254,,,LAPOYA,1
